caso,n,semente,algoritmo,qtd_selecionadas,tempo_segundos,decisoes,memoria_kb_antes,memoria_kb_depois,memoria_kb_delta
ilustrativo,3,0,guloso_duracao,1,0.000001306,6,2572,2572,0
ilustrativo,3,0,guloso_termino,2,0.000000238,5,2572,2572,0
ilustrativo,3,0,backtracking,2,0.000000229,6,2572,2572,0
benchmark_pequeno,10,1010,guloso_duracao,2,0.000001158,33,2572,2572,0
benchmark_pequeno,10,1010,guloso_termino,6,0.000001123,35,2572,2572,0
benchmark_pequeno,10,1010,backtracking,6,0.000000750,54,2572,2572,0
benchmark_pequeno,15,1015,guloso_duracao,4,0.000001763,59,2572,2572,0
benchmark_pequeno,15,1015,guloso_termino,9,0.000001745,57,2572,2572,0
benchmark_pequeno,15,1015,backtracking,9,0.000004102,438,2572,2572,0
benchmark_pequeno,18,1018,guloso_duracao,4,0.000001831,68,2572,2572,0
benchmark_pequeno,18,1018,guloso_termino,9,0.000001868,75,2572,2572,0
benchmark_pequeno,18,1018,backtracking,9,0.000014575,1845,2572,2572,0
benchmark_pequeno,20,1020,guloso_duracao,2,0.000002015,86,2572,2572,0
benchmark_pequeno,20,1020,guloso_termino,9,0.000001960,80,2572,2572,0
benchmark_pequeno,20,1020,backtracking,9,0.000055070,7913,2572,2572,0
benchmark_pequeno,22,1022,guloso_duracao,2,0.000002404,96,2572,2572,0
benchmark_pequeno,22,1022,guloso_termino,10,0.000002179,97,2572,2572,0
benchmark_pequeno,22,1022,backtracking,10,0.000044891,6340,2572,2572,0
benchmark_pequeno,24,1024,guloso_duracao,2,0.000002266,102,2572,2572,0
benchmark_pequeno,24,1024,guloso_termino,9,0.000002533,109,2572,2572,0
benchmark_pequeno,24,1024,backtracking,9,0.000213771,30956,2572,2572,0
benchmark_grande,50,2050,guloso_duracao,3,0.000009817,268,2572,2572,0
benchmark_grande,50,2050,guloso_termino,13,0.000006819,272,2572,2572,0
benchmark_grande,100,2100,guloso_duracao,3,0.000022862,648,2572,2572,0
benchmark_grande,100,2100,guloso_termino,20,0.000013143,639,2572,2572,0
benchmark_grande,500,2500,guloso_duracao,4,0.000088542,4354,2572,2572,0
benchmark_grande,500,2500,guloso_termino,49,0.000081123,4353,2572,2572,0
benchmark_grande,1000,3000,guloso_duracao,3,0.000189427,9697,2572,2572,0
benchmark_grande,1000,3000,guloso_termino,70,0.000199177,9669,2572,2572,0
benchmark_grande,5000,7000,guloso_duracao,9,0.001493463,60223,2572,2572,0
benchmark_grande,5000,7000,guloso_termino,156,0.001744795,60285,2572,2572,0
benchmark_grande,10000,12000,guloso_duracao,7,0.003165363,130386,2572,2760,188
benchmark_grande,10000,12000,guloso_termino,225,0.003048476,130366,2760,2760,0
